date, pm25, pm10, o3, no2, so2, co
2019/4/24, 142, 64, 17, 1, 10, 
2019/4/25, 132, 59, 20, 5, 7, 
2019/4/26, 112, 63, 20, 4, 10, 
2019/4/27, 119, 71, 23, 3, 16, 
2019/4/28, 132, 67, 28, , 14, 
2019/4/29, 130, 65, 24, , 12, 
2019/4/30, 115, 57, 27, , 13, 
2019/5/1, 106, 60, 22, , 5, 
2019/5/2, 113, 49, 28, 4, 4, 
2019/5/3, 101, 53, 25, 5, 7, 
2019/5/4, 114, 61, 27, 6, 6, 
2019/5/5, 131, 60, 26, 6, 8, 
2019/5/6, 122, 62, 26, 6, 10, 
2019/5/7, 131, 64, 29, 5, 8, 
2019/5/8, 128, 80, 30, 5, 7, 
2019/5/9, 159, 96, 24, 5, 6, 
2019/5/10, 159, 63, 29, 5, 7, 
2019/5/11, 127, 71, 29, 5, 7, 
2019/5/12, 151, 109, 27, 5, 9, 
2019/5/13, 175, 51, 30, 3, 5, 
2019/5/14, 109, 69, 23, 2, 6, 10
2019/5/15, 139, 58, 28, 2, 6, 
2019/5/16, 124, 55, 13, 1, 6, 
2019/5/17, 113, 41, 20, 2, 5, 
2019/5/18, 96, 52, 27, 2, 6, 
2019/5/19, 131, 73, 25, 2, 6, 
2019/5/20, 137, 68, 21, 2, 7, 
2019/5/21, 129, 83, 28, 2, 10, 
2019/5/22, 154, 75, 13, 2, 9, 
2019/5/23, 134, 57, 18, 2, 8, 
2019/5/24, 109, 53, 25, 2, 5, 
2019/5/25, 83, 60, 28, 2, 6, 
2019/5/26, 118, 61, 25, 2, 7, 
2019/5/27, 115, 63, 27, 2, 9, 
2019/5/28, 131, 68, 28, 2, 11, 
2019/5/29, 146, 71, 26, 2, 10, 9
2019/5/30, 147, 72, 25, 2, 9, 
2019/5/31, 151, 95, 23, 2, 10, 
2019/6/1, 181, 86, 22, 2, 6, 10
2019/6/2, 163, 90, 18, 2, 5, 8
2019/6/3, 152, 70, 19, 3, 8, 
2019/6/4, 125, 75, 19, 3, 13, 5
2019/6/5, 150, 65, 18, 3, 9, 3
2019/6/6, 137, 57, 27, 3, 10, 
2019/6/7, 109, 59, 25, 3, 5, 
2019/6/8, 768, 56, 22, 3, 5, 
2019/6/10, 126, 77, 15, 3, 5, 
2019/6/11, 135, 82, 13, 3, 4, 
2019/6/12, 123, 138, 16, 6, 2, 
2019/6/13, 110, 72, 22, 6, 2, 
2019/6/14, 117, 92, 18, 5, 3, 
2019/6/15, 134, 51, 16, 4, 2, 
2019/6/16, 98, 79, 15, 5, 1, 
2019/6/17, 121, 53, 12, 4, 2, 
2019/6/18, 109, 83, 21, 5, 2, 
2019/6/19, 146, 79, 15, 4, 2, 
2019/6/20, 140, 56, 11, 4, 2, 
2019/6/21, 102, 64, 6, 4, 2, 
2019/6/22, 104, 70, 1, 4, 2, 
2019/6/23, 120, 56, 2, 39, 1, 
2019/6/24, 81, 45, 5, 21, 2, 
2019/6/25, 72, 64, 7, 5, 2, 
2019/6/26, 99, 88, 15, 5, 2, 
