date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,,date,D_pm25,D_pm10,D_o3,D_no2,D_so2,D_co,,date,P_pm25,P_pm10,P_o3,P_no2,P_so2,P_co
2018-10-12,,,,,,,,2018/10/12,160,253,48,31,10,14,,2018/10/12,131,52,3,5,4,5
2018-10-13,,,,,,,,2018/10/13,195, ,43,28,10,13,,2018/10/13,124,65, ,5,4,7
2018-10-14,,,,,,,,2018/10/14,172,266,52,36,11,19,,2018/10/14,149,66, ,5,4,6
2018-10-15,,,,,,,,2018/10/15,197,210,53,34,9,24,,2018/10/15,140,79, ,5,6,10
2018-10-16,,,,,,,,2018/10/16,201,232,51,28,9,19,,2018/10/16,157,78, ,5,9,10
2018-10-17,,,,,,,,2018/10/17,206,191,31,27,9,24,,2018/10/17,156,92,4,5,7,10
2018-10-18,,,,,,,,2018/10/18,195,184,66,48,8,14,,2018/10/18,169,63,14,5,3,8
2018-10-19,,,,,,,,2018/10/19,201,211,55,58,10,15,,2018/10/19,146,71,9,5,4,7
2018-10-20,,,,,,,,2018/10/20,237,200,46,49,11, ,,2018/10/20,149,61,10,5,4,5
2018-10-21,,,,,,,,2018/10/21,213,182,43,48,10,24,,2018/10/21,143,80,17,5,4,6
2018-10-22,,,,,,,,2018/10/22,189,242,46,53,9,20,,2018/10/22,161,72,6,4,8,11
2018-10-23,,,,,,,,2018/10/23,202,267,57,55,7,25,,2018/10/23,150,71,6,4,7,11
2018-10-24,,,,,,,,2018/10/24,238,268,36,57,7,28,,2018/10/24,158,70,4,4,3,12
2018-10-25,,,,,,,,2018/10/25,229,266,29,30,6,31,,2018/10/25,159,78,6,5,6,9
2018-10-26,,,,,,,,2018/10/26,243,285,55,24,4,28,,2018/10/26,165,78,4,5,5,6
2018-10-27,,,,,,,,2018/10/27,268,281,50,19,4,15,,2018/10/27,150,85,6,5,4,8
2018-10-28,,,,,,,,2018/10/28,287,351,40,23,4,33,,2018/10/28,164,82,5,5,4,7
2018-10-29,,,,,,,,2018/10/29,328,422,25,24,3,26,,2018/10/29,142,85,14,5,4,8
2018-10-30,,,,,,,,2018/10/30,337,295,46,21,3,26,,2018/10/30,150,77,18,6,5,7
2018-10-31,,,,,,,,2018/10/31,277,284,40,24,3,25,,2018/10/31,135,84,8,5,4,10
2018-11-01,,,,,,,,2018/11/1,279,238,38,24,3,22,,2018/11/1,154,68,9,5,8,6
2018-11-02,,,,,,,,2018/11/2,263,194,19,20,29,11,,2018/11/2,119,41,8,5,7,5
2018-11-03,,,,,,,,2018/11/3,241,162,5,33,2,9,,2018/11/3,58,131,6,5,7,4
2018-11-04,,,,,,,,2018/11/4,230,388,24,36,4,12,,2018/11/4,143,52,12,5,4,4
2018-11-05,,,,,,,,2018/11/5,393,208,37,27,2,9,,2018/11/5,133,68,14,5,3,4
2018-11-06,,,,,,,,2018/11/6,247,303,49,23,4,15,,2018/11/6,141,84,14,7,5,9
2018-11-07,,,,,,,,2018/11/7,288,527,18,29,8,21,,2018/11/7,158,199,5,10,10, 
2018-11-08,,,,,,,,2018/11/8,492,259,44,31,4,22,,2018/11/8,161,129,5,5,5, 
2018-11-09,,,,,,,,2018/11/9,352,442,35,42,3,27,,2018/11/9,129,107,4,5,5, 
2018-11-10,,,,,,,,2018/11/10,360,312,43,46,3,24,,2018/11/10,129,84,5,5,5, 
2018-11-11,,,,,,,,2018/11/11,290,366,41,66,3,25,,2018/11/11,129,91,10,5,6,500
2018-11-12,,,,,,,,2018/11/12,329,308,28,64,2,17,,2018/11/12,129,86,4,5, ,269
2018-11-13,,,,,,,,2018/11/13,310,139,24,40,2,18,,2018/11/13,130,66,4,4, , 
2018-11-14,,,,,,,,2018/11/14,198,112,19,40,1,11,,2018/11/14,133,39,8,4, , 
2018-11-15,,,,,,,,2018/11/15,171,147,24,39,2,8,,2018/11/15,112, ,3,4, , 
2018-11-16,,,,,,,,2018/11/16,217,165,23,45,2,19,,2018/11/16,85,79,6,5, , 
2018-11-17,,,,,,,,2018/11/17,203,172,22,44,2,18,,2018/11/17,123,101,6,4, , 
2018-11-18,,,,,,,,2018/11/18,211,171,19,49,2,12,,2018/11/18,141,87,9,4, , 
