date, pm25, pm10, o3, no2, so2, co
2019/8/16, 69, 27, 4, 4, 13, 2
2019/8/17, 47, 17, 3, 2, 16, 2
2019/8/18, 33, 55, 6, 1, 18, 4
2019/8/19, 75, 64, 10, , 21, 4
2019/8/20, 85, 73, 12, , 23, 4
2019/8/21, 111, 96, 11, , 26, 4
2019/8/22, 140, 95, 13, , 28, 5
2019/8/23, 148, 69, 7, , 28, 4
2019/8/24, 117, 50, 5, 1, 18, 4
2019/8/25, 98, 54, 6, 1, 4, 4
2019/8/26, 80, 86, 8, 1, 10, 5
2019/8/27, 118, 81, 9, 1, 15, 5
2019/8/28, 121, 104, 5, 1, 16, 4
2019/8/29, 123, 69, 7, 1, 17, 4
2019/8/30, 103, 79, 9, 1, 19, 5
2019/8/31, 100, 57, 7, 1, 21, 4
2019/9/1, 63, 73, 17, 2, 13, 5
2019/9/2, 86, 90, 12, 2, 15, 5
2019/9/3, 129, 93, 6, 6, 20, 5
2019/9/4, 136, 64, 5, 8, 25, 5
2019/9/5, 89, 64, 6, 10, 22, 4
2019/9/6, 78, 59, 6, 11, 16, 4
2019/9/7, 71, 60, 7, 9, 15, 4
2019/9/8, 68, 91, 8, 9, 15, 5
2019/9/9, 104, 100, 12, 9, 15, 6
2019/9/10, 152, 111, 14, 9, 13, 6
2019/9/11, 172, 99, 8, 6, 17, 5
2019/9/12, 169, 75, 7, 2, 21, 4
2019/9/13, 132, 71, 5, 3, 20, 3
2019/9/14, 116, 51, 10, 2, 4, 3
2019/9/15, 79, 84, 13, 4, 12, 5
2019/9/16, 135, 97, 18, 3, 10, 6
2019/9/17, 154, 87, 16, 2, 2, 4
2019/9/18, 122, 66, 10, 1, 5, 3
2019/9/19, 78, 76, 11, 2, 1, 4
2019/9/20, 100, 86, 14, 2, 1, 5
2019/9/21, 134, 54, 14, 2, 1, 3
2019/9/22, 85, 47, 12, 1, 1, 3
2019/9/23, 74, 72, 18, 1, 2, 4
2019/9/24, 123, 76, 12, 2, 4, 4
2019/9/25, 121, 65, 9, 2, 1, 3
2019/9/26, 91, 57, 9, 2, 1, 3
2019/9/27, 81, 43, 7, 2, 3, 3
2019/9/28, 70, 18, 5, 2, 1, 2
2019/9/29, 40, 43, 7, 2, 1, 3
2019/9/30, 71, 59, 10, 3, 1, 4
2019/6/15, 197, 108, 19, 5, 9, 2
2019/6/16, 167, 114, 21, 6, 12, 3
2019/6/17, 140, 50, 19, 8, 11, 3
2019/6/18, 156, 122, 31, 8, 10, 3
2019/6/19, 228, 96, 38, 8, 9, 4
2019/6/20, 165, 87, 38, 10, 8, 4
2019/6/21, 172, 87, 49, 5, 11, 4
2019/6/22, 164, 71, 28, 4, 11, 3
2019/6/23, 118, 51, 15, 6, 13, 3
2019/6/24, 70, 51, 26, 7, 15, 3
2019/6/25, 118, 83, 36, 9, 12, 4
2019/6/26, 166, 151, 33, 6, 8, 4
2019/6/27, 175, 115, 26, 7, 10, 3
2019/6/28, 178, 154, 26, 6, 12, 3
2019/6/29, 183, 126, 33, 8, 14, 4
2019/6/30, 188, 103, 34, 7, 15, 4
2019/12/31, , 160, 14, 18, 18, 10
2019/6/14, , 120, 32, 9, 28, 3
